direct marketing
E-BILLING
DIGITAL ACCOUNT NUMBER
 ACCOUNT
DIRECT MKTG
 MISC
Confirmation
other decrease
ECHECK
INST XFER
Payroll
PHONE PAYMENT
POINT OF SALE
pos debit
RETURN PAYMENT FEE
RETURN PAYMENT
VSDIRECT
Purchase Bonus
cash back
purchase terminal
signature pos prchs merchant purchase terminal
signature prchs terminal
recurring 
REF# 
REF #
CREDIT
purchase
DEBIT PIN PURCHASE
visa purchase
 AUTH 
DEBIT PURCHASE
ach credit
ach deposit
WORLD DEBIT
PURCHASE AUTHORIZED
PURCHASE INTL AUTHORIZED
PURCHASE INTL
PURCHASE RETURN AUTHORIZED
BILL PAY
ON-LINE
BILL PAY CHECK
PURCHASE RETURN
PURCHASE AUTHORIZATION
RECURRING PAYMENT AUTHORIZED
RECUR DEBIT CARD PMT
DEBIT AUTHORIZATION
debit terminal
BILLWA
receipts
 mobile
pmts
Authdate
in-process
aplpay
ACH PREAUTHORIZED
ACH Electronic Credit
ACH Electronic Debit
cashreward
visa authorization
VISA DDA PUR
PURCHASE WITH CASH BACK
CHECK CRD PURCHASE
CHECK CRD PUR RTRN
SQ *
paypal 
PP*
PC *
PAYPAL *
GOOGNFC*
PURCHASE+CASH 
DDA PURCH W/CB
DDA PURCHASE
ONLINE PMT
ONLINE PYMT
ONLINE PAYMENT
ONLINE PAYMENT TO
Web Payme
Online Banking Transfer
ANN.PYMT.
ANN.PMT.
CHG PYMT
 PYMT 
 CHG 
PAYMENT
WPY*
ADY*
APL*
HLU*
HSN*
Pending 
Pending -
credit
debit
ONLINE TRANSFER
Return Authorized
?MCC=
PIN REVERSAL
CHECKCARD
ACH PREAUTHORIZED CREDIT
Electronic Transfer
UTIL PYMT
PAYROLL
reference number
AUTOPAY
creditcard
epayment
ELECTRONIC PAYMENT
Electronic Withdrawal
AUTOMATIC PAYMENT
THANK YOU
TFR-FR
WDRL-ACH
AUTO PAY
RETRY PYMT
MONTHLY FEE
Late Payment Fee
INTERNATIONAL PURCHASE
TRANSACTION FEE
REF:
INTERNATIONAL WIRE
DEBIT A/C:
ONLINE TRANSFER TO
PREPAY
PURCHASE
AUTHORIZED ON
DEBIT RETURN
POS PURCHASE
dda 
mktplace
session
reference#
seq #
 jan 
 feb 
 mar 
 apr 
 may 
 jun 
 jul 
 aug 
 sep 
 sep 
 oct 
 nov 
 dec 
INST XFER
 CARD 
WITH MR POINTS CREDIT
WITHDRAWAL
WITHDRWL
CARDMEMBER SERV WEB PYMT
CARDMEMBER SERV
WEB PYMT
ORDER
VISA 
MRKTPLC
 EURO 
RECUR DEBIT CRD PMT
CARDMEMBER SERV
ELECTRONIC/ACH
CHECK CARD PURCHASE
CHECK CARD CREDIT
RECURRING CHECK CARD PURCHASE
PAYMENTS
MOBILE PURCHASE
SUBSCRIPTION
MISCELLANEOUS
INTERNATIONAL TRANSACTION FEE
Credit Collection
WEB ID:
STATEMENT CREDIT
BROKERAGE CREDIT
BROKERAGE DEBIT
LOAN PAYMENT
Mobile/Email Transfer
Conf#
Online Transfer to CHK
Online Transfer to MMA
PURCHASE ON
ONLINE TRANSFER FROM
MMA ...
CHK ...
PAYMENT TO
CASH WITHDRAWAL CHARGE
CASH WITHDRAWAL
WEB INITIATED PAYMENT AT
DIRECTDEBIT
DIRECT DEBIT
CARD SERV
STAMP PURCHASE
BENEFIT PAYMENTS DEPOSIT
SECURITY CREDIT
REDEMPTION CREDIT
INTERNET PMT
COUNTER CREDIT
PHONE/ONLINE
FOREIGN TRANSACTION FEE
ADJUSTMENT-PURCHASES
MONTHLY ACCOUNT FEE
PURCHASE MADE ON
INTERNET PAYMENT
REFERENCE #
TELLER WITHDRAWAL
TELLER DEPOSIT
eCheck Deposit
Payment Thank You-Mobile
AUTOMATIC PAYMENT - THANK
PURCHASE PROTECTION BENEFIT PAYMENT
INTEREST CREDIT
INTEREST PAYMENT
TRANSACTION
ATM DEBIT
ACH HOLD
ACH DEBIT
VISA RETURN
ACH WEB-SINGLE
